SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
1467,UBC,PSMC1,0.127,0.917,0.091,0.963,Multiple Sclerosis,561176,7316,5700,113164,111673,Affinity Capture-MS,16196087,Matsumoto M (2005)
1468,HSPA4,SOD1,0.099,0.667,0.887,0.963,Alzheimers,479144,3308,6647,109540,112530,Affinity Capture-Western,15198682,Urushitani M (2004)
1469,TAF1,TP53,0.042,0.51,0.886,0.963,Parkinson's,302599,6872,7157,112735,113010,Affinity Capture-Western,10359315,Cvekl A (1999)
1470,GBA,SNCA,0,0.512,0.928,0.963,Parkinson's,1254053,2629,6622,108899,112506,Reconstituted Complex,23266198,Yap TL (2013)
1471,PINK1,VDAC1,0,0.24,0.911,0.963,Alzheimers,2752801,65018,7416,122376,113259,Affinity Capture-MS,31300519,Guardia-Laguarta C (2019)
1472,HPR,HP,0.906,0.432,0.385,0.964,Alzheimers,3074715,3250,3240,109487,109480,Affinity Capture-MS,33961781,Huttlin EL (2021)
1473,HNRNPA1,SRSF7,0.705,0.354,0.728,0.964,Multiple Sclerosis,723713,3178,6432,109420,112330,Affinity Capture-Western,15210956,Huang Y (2004)
1474,ACLY,SDHA,0.681,0.226,0.574,0.964,Friedreich ataxia,1271729,47,6389,106563,112290,Co-fractionation,26344197,Wan C (2015)
1475,DHX9,HNRNPA1,0.641,0.673,0.719,0.964,Multiple Sclerosis,921875,1660,3178,108025,109420,Co-fractionation,22863883,Kristensen AR (2012)
1476,CUL7,MRPL13,0.595,0.894,0.204,0.964,Friedreich ataxia,754061,9820,28998,115159,118817,Co-fractionation,22939629,Havugimana PC (2012)
1477,TOMM20,VDAC1,0.168,0.659,0.817,0.964,Parkinson's,278562,9804,7416,115144,113259,Reconstituted Complex,9119086,Schleiff E (1997)
1478,TARDBP,VCP,0.154,0.379,0.938,0.964,Parkinson's,568894,23435,7415,117003,113258,Affinity Capture-Western,19237541,Gitcho MA (2009)
1479,NDUFAB1,NFS1,0.097,0.67,0.773,0.964,Friedreich ataxia,1197244,4706,9054,110786,114516,Affinity Capture-MS,26186194,Huttlin EL (2015)
1480,VAPA,VAPB,0.094,0.837,0.56,0.964,Multiple Sclerosis,283394,9218,9217,114651,114650,Reconstituted Complex,9920726,Nishimura Y (1999)
1481,OSBPL9,VAPB,0.065,0.795,0.829,0.964,Multiple Sclerosis,423607,114883,9217,125384,114650,Affinity Capture-MS,19615732,Sowa ME (2009)
1482,SDHB,NDUFA9,0.879,0.259,0.639,0.965,Friedreich ataxia,751333,6390,4704,112291,110784,Co-fractionation,22939629,Havugimana PC (2012)
1483,HNRNPC,HNRNPA0,0.684,0.366,0.84,0.965,Multiple Sclerosis,3358304,3183,10949,109424,116149,Affinity Capture-MS,35271311,Cho NH (2022)
1484,ELAVL1,HNRNPA1,0.668,0.697,0.619,0.965,Multiple Sclerosis,662927,1994,3178,108309,109420,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
1485,HNRNPA3,PTBP1,0.504,0.564,0.768,0.965,Multiple Sclerosis,1268341,220988,5725,128670,111697,Co-fractionation,26344197,Wan C (2015)
1486,SRSF9,U2AF2,0.18,0.424,0.678,0.965,Multiple Sclerosis,743680,8683,11338,114231,116466,Co-fractionation,22939629,Havugimana PC (2012)
1487,MAOA,MAOB,0.163,0.609,0.063,0.965,Parkinson's,2219356,4128,4129,110301,110302,Affinity Capture-MS,28514442,Huttlin EL (2017)
1488,TAX1BP1,AZI2,0.074,0.953,0.27,0.965,Multiple Sclerosis,2609053,8887,64343,114405,122142,Co-crystal Structure,30459273,Fu T (2018)
1489,NDEL1,YWHAE,0,0.474,0.937,0.965,Parkinson's,258543,81565,7531,123527,113363,Two-hybrid,12796778,Toyo-oka K (2003)
1490,SDHA,CYC1,0.859,0.223,0.616,0.966,Friedreich ataxia,1260617,6389,1537,112290,107917,Co-fractionation,26344197,Wan C (2015)
1491,SRSF3,U2AF1,0.746,0.431,0.591,0.966,Multiple Sclerosis,2714110,6428,7307,112326,113157,Two-hybrid,32296183,Luck K (2020)
1492,HNRNPK,SRSF1,0.739,0.275,0.742,0.966,Multiple Sclerosis,743141,3190,6426,109431,112324,Co-fractionation,22939629,Havugimana PC (2012)
1493,PCBP1,HNRNPA1,0.674,0.195,0.812,0.966,Multiple Sclerosis,2471465,5093,3178,111126,109420,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1494,CUL7,RPS9,0.659,0.873,0.24,0.966,Friedreich ataxia,1058016,9820,6203,115159,112117,Affinity Capture-MS,24711643,Hanson D (2014)
1495,PMPCA,NDUFV1,0.585,0.869,0.242,0.966,Friedreich ataxia,2857420,23203,4723,116811,110802,Proximity Label-MS,32877691,Antonicka H (2020)
1496,MRPL46,NDUFAB1,0.287,0.954,0,0.966,Friedreich ataxia,1183474,26589,4706,117757,110786,Affinity Capture-MS,26186194,Huttlin EL (2015)
1497,EWSR1,SNRPC,0.245,0.453,0.925,0.966,Multiple Sclerosis,281988,2130,6631,108431,112515,Reconstituted Complex,10827180,Knoop LL (2000)
1498,SLC6A3,SLC18A2,0.14,0.296,0.949,0.966,Parkinson's,2811501,6531,6571,112422,112459,Affinity Capture-Western,19357284,Egana LA (2009)
1499,PSMA6,UBC,0.131,0.912,0.215,0.966,Multiple Sclerosis,2621860,5687,7316,111660,113164,Reconstituted Complex,30659753,Castagnoli L (2019)
1500,CDC25C,SFN,0.042,0.475,0.883,0.966,Parkinson's,870528,995,2810,107430,109072,Affinity Capture-Western,15791647,Isagawa T (2005)
1501,PMPCB,NDUFV1,0.705,0.835,0.162,0.967,Friedreich ataxia,2857658,9512,4723,114889,110802,Proximity Label-MS,32877691,Antonicka H (2020)
1502,TNF,NFKBIA,0.338,0.292,0.937,0.967,Amyotrophic Lateral Sclerosis (ALS),904505,7124,4792,112979,110859,Biochemical Activity,7739525,Rodriguez MS (1995)
1503,HLA-C,HLA-DRB1,0.134,0.134,0.617,0.967,Amyotrophic Lateral Sclerosis (ALS),3154507,3107,3123,109352,109368,Affinity Capture-MS,33961781,Huttlin EL (2021)
1504,CIAPIN1,NUBP1,0.127,0.281,0.907,0.967,Friedreich ataxia,3186060,57019,4682,121328,110762,Affinity Capture-MS,33961781,Huttlin EL (2021)
1505,OSBP,VAPB,0.085,0.706,0.821,0.967,Multiple Sclerosis,3362150,5007,9217,111048,114650,Affinity Capture-MS,35271311,Cho NH (2022)
1506,SDHA,UQCRC1,0.842,0.176,0.719,0.968,Friedreich ataxia,2362121,6389,7384,112290,113230,Affinity Capture-MS,29128334,Malty RH (2017)
1507,HNRNPC,TRA2B,0.793,0.221,0.715,0.968,Multiple Sclerosis,3071147,3183,6434,109424,112332,Affinity Capture-MS,33961781,Huttlin EL (2021)
1508,HNRNPM,SFPQ,0.79,0.214,0.822,0.968,Multiple Sclerosis,744770,4670,6421,110751,112319,Co-fractionation,22939629,Havugimana PC (2012)
1509,HNRNPA2B1,HNRNPH3,0.785,0.617,0.641,0.968,Multiple Sclerosis,1263169,3181,3189,109422,109430,Co-fractionation,26344197,Wan C (2015)
1510,HNRNPA2B1,HNRNPA3,0.642,0.53,0.717,0.968,Multiple Sclerosis,743126,3181,220988,109422,128670,Co-fractionation,22939629,Havugimana PC (2012)
1511,HSP90AA1,HSPA5,0.379,0.462,0.912,0.968,Multiple Sclerosis,818872,3320,3309,109552,109541,Affinity Capture-MS,19875381,Gano JJ (2010)
1512,ENO1,TALDO1,0.338,0.187,0.745,0.968,Friedreich ataxia,1273077,2023,6888,108338,112751,Co-fractionation,26344197,Wan C (2015)
1513,SRSF3,SRSF9,0.24,0.597,0.546,0.968,Multiple Sclerosis,1272602,6428,8683,112326,114231,Co-fractionation,26344197,Wan C (2015)
1514,APOE,PLTP,0.223,0.292,0.822,0.968,Alzheimers,256734,348,5360,106845,111374,Affinity Capture-Western,12810820,Siggins S (2003)
1515,SOD2,ACO2,0.19,0.711,0.875,0.968,Friedreich ataxia,1258088,6648,50,112531,106566,Co-fractionation,26344197,Wan C (2015)
1516,UBQLN2,TARDBP,0.111,0.42,0.943,0.968,Multiple Sclerosis,858472,29978,23435,119006,117003,Reconstituted Complex,23541532,Cassel JA (2013)
1517,STUB1,TP53,0.091,0.916,0.624,0.968,Parkinson's,564132,10273,7157,115563,113010,Biochemical Activity,20618441,Stankiewicz M (2010)
1518,MMP9,TGFB1,0.082,0.599,0.872,0.968,Alzheimers,278188,4318,7040,110461,112898,Biochemical Activity,10652271,Yu Q (2000)
1519,ARAF,YWHAE,0.072,0.672,0.089,0.968,Parkinson's,464641,369,7531,106864,113363,Two-hybrid,20936779,Bandyopadhyay S (2010)
1520,MAP1LC3B,MAP1A,0.042,0.624,0.919,0.968,Multiple Sclerosis,446317,81631,4130,123565,110303,Affinity Capture-MS,20562859,Behrends C (2010)
1521,HNRNPH1,ILF2,0.687,0.362,0.86,0.969,Multiple Sclerosis,745334,3187,3608,109428,109821,Co-fractionation,22939629,Havugimana PC (2012)
1522,HNRNPC,HNRNPA3,0.524,0.336,0.856,0.969,Multiple Sclerosis,3358308,3183,220988,109424,128670,Affinity Capture-MS,35271311,Cho NH (2022)
1523,PTPRC,CD8A,0.246,0.322,0.945,0.969,Amyotrophic Lateral Sclerosis (ALS),286280,5788,925,111752,107363,FRET,1834739,Mittler RS (1991)
1524,PSMA1,RPS27A,0.243,0.915,0.146,0.969,Multiple Sclerosis,3364136,5682,6233,111655,112147,Affinity Capture-MS,35271311,Cho NH (2022)
1525,CDK5R1,MAPT,0.129,0.292,0.558,0.969,Alzheimers,3312117,8851,4137,114376,110308,Reconstituted Complex,34018922,Zhang X (2021)
1526,STAT1,STAT5A,0.115,0.387,0.858,0.969,Amyotrophic Lateral Sclerosis (ALS),1504985,6772,6776,112649,112653,Co-localization,25241761,Chen TC (2014)
1527,IL2RG,IL21,0.106,0.292,0.572,0.969,Amyotrophic Lateral Sclerosis (ALS),1417255,3561,59067,109776,121857,Affinity Capture-Western,11418623,Asao H (2001)
1528,ATXN1,ATXN2,0.092,0.313,0.955,0.969,Parkinson's,720835,6310,6311,112217,112218,Two-hybrid,16713569,Lim J (2006)
1529,BCL2,MAPK1,0.086,0.292,0.586,0.969,Alzheimers,1417088,596,5594,107068,111580,Affinity Capture-Western,15225643,Tamura Y (2004)
1530,TBK1,CYLD,0.076,0.629,0.842,0.969,Multiple Sclerosis,327773,29110,1540,118878,107920,Affinity Capture-Western,18636086,Friedman CS (2008)
1531,OPTN,RB1CC1,0.074,0.926,0.583,0.969,Multiple Sclerosis,2766184,10133,9821,115436,115160,Affinity Capture-Western,31723608,Heo JM (2019)
1532,APP,PSEN2,0.049,0.339,0.954,0.969,Alzheimers,740288,351,5664,106848,111643,Two-hybrid,21163940,Soler-Lopez M (2011)
1533,SYNJ1,SH3GL1,0.042,0.418,0.95,0.969,Parkinson's,670982,8867,6455,114388,112352,Protein-peptide,10542231,Cestra G (1999)
1534,PRKCE,YWHAZ,0,0.965,0.14,0.969,Parkinson's,303652,5581,7534,111567,113366,Affinity Capture-Western,11950841,Gannon-Murakami L (2002)
1535,YWHAQ,FOXO3,0,0.637,0.228,0.969,Parkinson's,1056525,10971,2309,116168,108598,Affinity Capture-Western,11896584,Mahmud DL (2002)
1536,FOXO3,YWHAB,0,0.589,0.313,0.969,Parkinson's,446131,2309,7529,108598,113361,Affinity Capture-MS,20562859,Behrends C (2010)
1537,HNRNPA1,SRSF3,0.785,0.278,0.715,0.97,Multiple Sclerosis,2990453,3178,6428,109420,112326,Proximity Label-MS,34079125,Go CD (2021)
1538,HNRNPM,ILF3,0.784,0,0.869,0.97,Multiple Sclerosis,3445350,4670,3609,110751,109822,Co-fractionation,35831314,Havugimana PC (2022)
1539,HNRNPF,SRSF1,0.775,0.247,0.741,0.97,Multiple Sclerosis,743946,3185,6426,109426,112324,Co-fractionation,22939629,Havugimana PC (2012)
1540,HNRNPM,HNRNPR,0.746,0.214,0.785,0.97,Multiple Sclerosis,744199,4670,10236,110751,115530,Co-fractionation,22939629,Havugimana PC (2012)
1541,HNRNPA1,SFPQ,0.708,0.666,0.719,0.97,Multiple Sclerosis,669140,3178,6421,109420,112319,Affinity Capture-MS,22446626,Close P (2012)
1542,HNRNPL,HNRNPA3,0.54,0.685,0.702,0.97,Multiple Sclerosis,744405,3191,220988,109432,128670,Co-fractionation,22939629,Havugimana PC (2012)
1543,IDH1,MDH2,0.41,0.293,0.933,0.97,Friedreich ataxia,753963,3417,4191,109643,110356,Co-fractionation,22939629,Havugimana PC (2012)
1544,HNRNPH2,HNRNPM,0.327,0.21,0.919,0.97,Multiple Sclerosis,1445669,3188,4670,109429,110751,Affinity Capture-MS,26496610,Hein MY (2015)
1545,PSMD12,RPS27A,0.257,0.915,0.158,0.97,Multiple Sclerosis,3364742,5718,6233,111690,112147,Affinity Capture-MS,35271311,Cho NH (2022)
1546,HSPA8,EIF4G1,0.155,0.169,0.812,0.97,Parkinson's,2471197,3312,1981,109544,108296,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1547,YWHAG,YWHAH,0.141,0.875,0.505,0.97,Parkinson's,926847,7532,7533,113364,113365,Co-fractionation,22863883,Kristensen AR (2012)
1548,YWHAB,YWHAH,0.114,0.848,0.61,0.97,Parkinson's,914153,7529,7533,113361,113365,Affinity Capture-MS,24255178,Couzens AL (2013)
1549,PSMA4,UBB,0.106,0.929,0.156,0.97,Multiple Sclerosis,3061060,5685,7314,111658,113162,Affinity Capture-MS,33961781,Huttlin EL (2021)
1550,BCL2L1,PARK7,0.056,0.295,0.61,0.97,Alzheimers,591423,598,11315,107070,116446,Reconstituted Complex,21852238,Ren H (2011)
1551,HSP90AA1,LRRK2,0.05,0.899,0.718,0.97,Parkinson's,590080,3320,120892,109552,125700,Affinity Capture-Western,19536328,Ding X (2009)
1552,KIF5B,KIF5A,0,0.614,0.289,0.97,Multiple Sclerosis,3359072,3799,3798,110000,109999,Affinity Capture-MS,35271311,Cho NH (2022)
1553,MAP1B,SQSTM1,0,0.07,0.969,0.97,Parkinson's,3461219,4131,8878,110304,114397,Affinity Capture-MS,35777956,Strohm L (2022)
1554,MAPT,TARDBP,0,0.049,0.97,0.97,Alzheimers,3436788,4137,23435,110308,117003,Co-fractionation,35831314,Havugimana PC (2022)
1555,MDH2,SDHB,0.848,0.25,0.756,0.971,Friedreich ataxia,1271737,4191,6390,110356,112291,Co-fractionation,26344197,Wan C (2015)
1556,HNRNPF,HNRNPK,0.776,0.224,0.763,0.971,Multiple Sclerosis,743201,3185,3190,109426,109431,Co-fractionation,22939629,Havugimana PC (2012)
1557,TIMM50,TOMM40,0.377,0.606,0.793,0.971,Friedreich ataxia,751391,92609,10452,124961,115716,Co-fractionation,22939629,Havugimana PC (2012)
1558,CP,LTF,0.136,0.292,0.957,0.971,Alzheimers,302319,1356,4057,107748,110235,Reconstituted Complex,10666301,Zakharova ET (2000)
1559,NDUFAF2,NDUFB8,0.099,0.714,0.403,0.971,Alzheimers,3122126,91942,4714,124893,110794,Affinity Capture-MS,33961781,Huttlin EL (2021)
1560,PSMC3,UBC,0.074,0.931,0.2,0.971,Multiple Sclerosis,1057532,5702,7316,111675,113164,Reconstituted Complex,24743594,Jacobson AD (2014)
1561,GLRX5,ISCA2,0.067,0.162,0.947,0.971,Friedreich ataxia,2628738,51218,122961,119386,125808,Co-fractionation,31536960,Moutaoufik MT (2019)
1562,OPTN,RIPK1,0.054,0.785,0.754,0.971,Multiple Sclerosis,561909,10133,8737,115436,114274,Affinity Capture-Western,21408173,Nagabhushana A (2011)
1563,USP8,YWHAZ,0.047,0.969,0.072,0.971,Parkinson's,2535930,9101,7534,114555,113366,Co-crystal Structure,29473952,Centorrino F (2018)
1564,MAP1LC3B,MAP1B,0.047,0.773,0.88,0.971,Parkinson's,446315,81631,4131,123565,110304,Affinity Capture-MS,20562859,Behrends C (2010)
1565,HNRNPM,ILF2,0.763,0,0.887,0.972,Multiple Sclerosis,3445349,4670,3608,110751,109821,Co-fractionation,35831314,Havugimana PC (2022)
1566,IDH3A,SUCLA2,0.334,0.728,0.698,0.972,Friedreich ataxia,754055,3419,8803,109645,114331,Co-fractionation,22939629,Havugimana PC (2012)
1567,YWHAH,YWHAZ,0.282,0.851,0.544,0.972,Parkinson's,1274680,7533,7534,113365,113366,Co-fractionation,26344197,Wan C (2015)
1568,DDX58,UBC,0.047,0.948,0.182,0.972,Multiple Sclerosis,1067192,23586,7316,117121,113164,Reconstituted Complex,23264040,Feng M (2012)
1569,SVIP,NPLOC4,0.044,0.564,0.415,0.972,Multiple Sclerosis,337629,258010,55666,129222,120798,Co-fractionation,17872946,Ballar P (2007)
1570,PMPCB,NDUFS8,0.816,0.835,0.115,0.973,Friedreich ataxia,2857657,9512,4728,114889,110806,Proximity Label-MS,32877691,Antonicka H (2020)
1571,HP,ORM1,0.384,0.24,0.947,0.973,Alzheimers,2947671,3240,5004,109480,111046,Affinity Capture-MS,24981860,Marcon E (2014)
1572,RPL23,MRPL23,0.117,0.962,0.263,0.973,Friedreich ataxia,751039,9349,6150,114752,112070,Co-fractionation,22939629,Havugimana PC (2012)
1573,OSBPL9,VAPA,0.074,0.693,0.912,0.973,Multiple Sclerosis,423609,114883,9218,125384,114651,Affinity Capture-MS,19615732,Sowa ME (2009)
1574,IKBKG,UBB,0.062,0.94,0.148,0.973,Multiple Sclerosis,2261184,8517,7314,114089,113162,Affinity Capture-MS,28514442,Huttlin EL (2017)
1575,CYC1,COX7B,0.06,0.911,0.377,0.973,Alzheimers,2628453,1537,1349,107917,107742,Co-fractionation,31536960,Moutaoufik MT (2019)
1576,APOA1,PLTP,0.052,0.292,0.858,0.973,Alzheimers,278772,335,5360,106832,111374,Co-purification,9469594,Pussinen PJ (1998)
1577,YAP1,YWHAG,0.049,0.711,0.158,0.973,Parkinson's,914006,10413,7532,115684,113364,Proximity Label-MS,24255178,Couzens AL (2013)
1578,APC,SIAH1,0.042,0.6,0.401,0.973,Alzheimers,278872,324,6477,106821,112372,Reconstituted Complex,11389840,Liu J (2001)
1579,TANK,TRAF2,0,0.894,0.535,0.973,Multiple Sclerosis,250897,10010,7186,115328,113038,Affinity Capture-MS,14743216,Bouwmeester T (2004)
1580,DHX9,HNRNPM,0.717,0.388,0.862,0.974,Multiple Sclerosis,921941,1660,4670,108025,110751,Co-fractionation,22863883,Kristensen AR (2012)
1581,HNRNPL,HNRNPM,0.689,0.205,0.847,0.974,Multiple Sclerosis,745072,3191,4670,109432,110751,Co-fractionation,22939629,Havugimana PC (2012)
1582,ELAVL1,PTBP1,0.679,0.717,0.741,0.974,Multiple Sclerosis,827680,1994,5725,108309,111697,Two-hybrid,22365833,Hegele A (2012)
1583,HNRNPL,HNRNPU,0.646,0.634,0.705,0.974,Multiple Sclerosis,3358484,3191,3192,109432,109433,Affinity Capture-MS,35271311,Cho NH (2022)
1584,NDUFV3,NDUFAF2,0.083,0.435,0.323,0.974,Alzheimers,3030130,4731,91942,110809,124893,Affinity Capture-MS,33961781,Huttlin EL (2021)
1585,MATR3,SFPQ,0.078,0.441,0.954,0.974,Multiple Sclerosis,2644550,9782,6421,115126,112319,Affinity Capture-MS,29884807,Chi B (2018)
1586,MAPT,YWHAZ,0,0.892,0.775,0.974,Parkinson's,315880,4137,7534,110308,113366,Affinity Capture-Western,10840038,Hashiguchi M (2000)
1587,ALB,FGA,0.89,0.111,0.635,0.975,Alzheimers,825542,213,2243,106715,108534,Affinity Capture-MS,15174051,Zhou M (2004)
1588,SAA1,SAA2,0.779,0.174,0.741,0.975,Alzheimers,3031194,6288,6289,112196,112197,Affinity Capture-MS,33961781,Huttlin EL (2021)
1589,HNRNPH1,HNRNPK,0.762,0.604,0.621,0.975,Multiple Sclerosis,424657,3187,3190,109428,109431,Affinity Capture-MS,17643375,Jeronimo C (2007)
1590,PTBP1,SFPQ,0.663,0.785,0.691,0.975,Multiple Sclerosis,300584,5725,6421,111697,112319,Affinity Capture-Western,10653975,Meissner M (2000)
1591,HNRNPA1,KHDRBS1,0.547,0.757,0.79,0.975,Multiple Sclerosis,1450831,3178,10657,109420,115900,Affinity Capture-MS,26496610,Hein MY (2015)
1592,GRPEL1,HSPA4,0.411,0.593,0.904,0.975,Friedreich ataxia,1263330,80273,3308,123210,109540,Co-fractionation,26344197,Wan C (2015)
1593,PSMD11,RPS27A,0.327,0.917,0.218,0.975,Multiple Sclerosis,3364717,5717,6233,111689,112147,Affinity Capture-MS,35271311,Cho NH (2022)
1594,FUS,HNRNPA1,0.303,0.644,0.855,0.975,Multiple Sclerosis,2644156,2521,3178,108797,109420,Affinity Capture-MS,29884807,Chi B (2018)
1595,A2M,APOE,0.27,0.292,0.957,0.975,Alzheimers,302791,2,348,106524,106845,Affinity Capture-Western,9831625,Krimbou L (1998)
1596,PSMC3,RPS27A,0.186,0.935,0.184,0.975,Multiple Sclerosis,3364564,5702,6233,111675,112147,Affinity Capture-MS,35271311,Cho NH (2022)
1597,UBC,VCP,0.134,0.898,0.509,0.975,Multiple Sclerosis,561184,7316,7415,113164,113258,Affinity Capture-MS,16196087,Matsumoto M (2005)
1598,PINK1,SNCA,0.128,0.518,0.947,0.975,Alzheimers,720198,65018,6622,122376,112506,Affinity Capture-Western,19167501,Um JW (2009)
1599,HSPA5,SOD1,0.093,0.236,0.691,0.975,Multiple Sclerosis,2940557,3309,6647,109541,112530,Proximity Label-MS,33957083,Piette BL (2021)
1600,LRRK2,SFN,0.082,0.97,0.145,0.975,Parkinson's,2513110,120892,2810,125700,109072,Reconstituted Complex,24510904,Beilina A (2014)
1601,PSMC2,UBC,0.07,0.942,0.202,0.975,Multiple Sclerosis,1057533,5701,7316,111674,113164,Reconstituted Complex,24743594,Jacobson AD (2014)
1602,NDUFC2,NDUFAF1,0.058,0.225,0.46,0.975,Alzheimers,3047087,4718,51103,110798,119292,Affinity Capture-MS,33961781,Huttlin EL (2021)
1603,CYLD,RPS27A,0.055,0.946,0.145,0.975,Multiple Sclerosis,2346780,1540,6233,107920,112147,Affinity Capture-MS,27591049,Elliott PR (2016)
1604,HDAC4,HSP90AA1,0.046,0.175,0.971,0.975,Parkinson's,2471179,9759,3320,115106,109552,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1605,JAK3,JAK2,0.045,0.292,0.681,0.975,Amyotrophic Lateral Sclerosis (ALS),854498,3718,3717,109921,109920,Affinity Capture-Western,12207328,Doucet C (2002)
1606,SIAH1,SNCA,0,0.746,0.556,0.975,Alzheimers,570568,6477,6622,112372,112506,Reconstituted Complex,18065497,Lee JT (2008)
1607,BAD,YWHAH,0,0.736,0.156,0.975,Parkinson's,276376,572,7533,107048,113365,Two-hybrid,9369453,Hsu SY (1997)
1608,OGDHL,OGDH,0,0.61,0.42,0.975,Friedreich ataxia,3120198,55753,4967,120871,111017,Affinity Capture-MS,33961781,Huttlin EL (2021)
1609,KLC3,KLC4,0,0.589,0.428,0.975,Alzheimers,1457047,147700,89953,127078,124648,Affinity Capture-MS,26496610,Hein MY (2015)
1610,HNRNPA2B1,SRSF3,0.806,0.274,0.755,0.976,Multiple Sclerosis,744265,3181,6428,109422,112326,Co-fractionation,22939629,Havugimana PC (2012)
1611,ELAVL1,HNRNPC,0.671,0.55,0.852,0.976,Multiple Sclerosis,663575,1994,3183,108309,109424,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
1612,FUS,HNRNPC,0.227,0.614,0.882,0.976,Multiple Sclerosis,2644230,2521,3183,108797,109424,Affinity Capture-MS,29884807,Chi B (2018)
1613,DYNC1LI2,DCTN2,0.138,0.918,0.413,0.976,Multiple Sclerosis,2620437,1783,10540,108120,115794,Proximity Label-MS,28718761,Redwine WB (2017)
1614,TRAF6,UBC,0.042,0.937,0.305,0.976,Multiple Sclerosis,589857,7189,7316,113041,113164,Affinity Capture-Western,22033459,Muroi M (2011)
1615,ATXN3L,UBC,0,0.947,0.316,0.976,Multiple Sclerosis,589790,92552,7316,124954,113164,Co-crystal Structure,21118805,Weeks SD (2011)
1616,IL2RB,STAT5B,0,0.292,0.695,0.976,Amyotrophic Lateral Sclerosis (ALS),275213,3560,6777,109775,112654,Reconstituted Complex,10602027,Delespine-Carmagnat M (2000)
1617,SRSF1,HNRNPC,0.752,0.218,0.831,0.977,Multiple Sclerosis,3085524,6426,3183,112324,109424,Affinity Capture-MS,33961781,Huttlin EL (2021)
1618,HNRNPA3,HNRNPH1,0.568,0.654,0.782,0.977,Multiple Sclerosis,1263140,220988,3187,128670,109428,Co-fractionation,26344197,Wan C (2015)
1619,YAP1,YWHAE,0.059,0.735,0.206,0.977,Parkinson's,914005,10413,7531,115684,113363,Affinity Capture-MS,24255178,Couzens AL (2013)
1620,IL4R,JAK2,0.049,0.292,0.708,0.977,Amyotrophic Lateral Sclerosis (ALS),817455,3566,3717,109780,109920,Affinity Capture-Western,8609418,Murata T (1996)
1621,SFN,MDM4,0,0.948,0.575,0.977,Parkinson's,442386,2810,4194,109072,110359,Affinity Capture-Western,16511560,LeBron C (2006)
1622,PCBP1,PTBP1,0.754,0.464,0.757,0.978,Multiple Sclerosis,720581,5093,5725,111126,111697,Two-hybrid,16713569,Lim J (2006)
1623,PTBP1,HNRNPH1,0.672,0.071,0.894,0.978,Multiple Sclerosis,3441025,5725,3187,111697,109428,Co-fractionation,35831314,Havugimana PC (2022)
1624,SRSF7,U2AF2,0.441,0.334,0.747,0.978,Multiple Sclerosis,744183,6432,11338,112330,116466,Co-fractionation,22939629,Havugimana PC (2012)
1625,FCGR3A,FCGR3B,0.421,0.421,0.442,0.978,Amyotrophic Lateral Sclerosis (ALS),1180576,2214,2215,108508,108509,Affinity Capture-MS,26186194,Huttlin EL (2015)
1626,YWHAB,YWHAQ,0.322,0.692,0.058,0.978,Parkinson's,914154,7529,10971,113361,116168,Affinity Capture-MS,24255178,Couzens AL (2013)
1627,PSMA4,RPS27A,0.262,0.94,0.125,0.978,Multiple Sclerosis,3364207,5685,6233,111658,112147,Affinity Capture-MS,35271311,Cho NH (2022)
